Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC,tradecount
1641168000000,2022-01-03,ETHBTC,0.080963,0.081477,0.080358,0.081069,53563.5607,4334.83497122,121342
1641081600000,2022-01-02,ETHBTC,0.078911,0.081222,0.078904,0.080962,45197.0165,3622.03758271,108799
1640995200000,2022-01-01,ETHBTC,0.079544,0.079886,0.07852,0.078911,35297.4989,2794.65447122,88391
1640908800000,2021-12-31,ETHBTC,0.078717,0.079815,0.078386,0.079552,53146.6048,4200.40554051,114597
1640822400000,2021-12-30,ETHBTC,0.078128,0.079254,0.07795,0.078722,46404.2558,3648.83954201,105466
1640736000000,2021-12-29,ETHBTC,0.079768,0.080018,0.0781,0.078125,71447.6515,5666.2166987,141646
1640649600000,2021-12-28,ETHBTC,0.079632,0.080474,0.079014,0.07977,58407.796,4653.10083702,140188
1640563200000,2021-12-27,ETHBTC,0.080037,0.080332,0.079205,0.079633,44817.7567,3575.63991145,108848
1640476800000,2021-12-26,ETHBTC,0.081239,0.081585,0.079776,0.080029,33217.9397,2687.22200482,87478
1640390400000,2021-12-25,ETHBTC,0.079613,0.081522,0.0793,0.081235,42425.8466,3401.06031324,103715
1640304000000,2021-12-24,ETHBTC,0.080897,0.081013,0.079364,0.079613,45835.6037,3672.57793348,115525
1640217600000,2021-12-23,ETHBTC,0.0819,0.082367,0.080586,0.080897,67462.4409,5478.90451666,153197
1640131200000,2021-12-22,ETHBTC,0.082123,0.08289,0.081165,0.08189,48387.1021,3965.86415138,118834
1640044800000,2021-12-21,ETHBTC,0.084078,0.084764,0.081712,0.082121,59323.3047,4905.83417593,143536
1639958400000,2021-12-20,ETHBTC,0.084058,0.084606,0.082,0.084076,62630.9652,5203.07824344,163321
1639872000000,2021-12-19,ETHBTC,0.08455,0.08467,0.082576,0.084054,48302.7562,4037.89685908,127146
1639785600000,2021-12-18,ETHBTC,0.084013,0.085152,0.082715,0.084551,62209.4049,5224.71309018,160778
1639699200000,2021-12-17,ETHBTC,0.083093,0.0841,0.080447,0.084013,96588.4562,7953.46696846,212369
1639612800000,2021-12-16,ETHBTC,0.082249,0.084865,0.081984,0.083081,92316.9238,7675.71038433,196429
1639526400000,2021-12-15,ETHBTC,0.079829,0.083225,0.078305,0.082259,96862.6812,7799.37139748,233097
1639440000000,2021-12-14,ETHBTC,0.08098,0.081536,0.079344,0.079828,87949.1705,7072.69410032,209922
1639353600000,2021-12-13,ETHBTC,0.082506,0.082562,0.079949,0.08098,84163.9532,6830.6920999,208246
1639267200000,2021-12-12,ETHBTC,0.082806,0.082855,0.081,0.082498,59607.5209,4883.95107085,130683
1639180800000,2021-12-11,ETHBTC,0.082696,0.08373,0.08152,0.082806,56626.8557,4689.25026923,158739
