Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1617580800000,2021-04-05,ETHUSDC,2076.63,2132.08,2002.56,2107.2,10698.06688,22193983.0263281,16512
1617494400000,2021-04-04,ETHUSDC,2009,2092.05,1978,2075.98,10914.50594,22379923.0398113,14617
1617408000000,2021-04-03,ETHUSDC,2134.06,2139,1999.12,2010.07,17962.20169,37338460.8342174,22905
1617321600000,2021-04-02,ETHUSDC,1968.42,2145.6,1948.74,2134.92,27604.5067,56488839.5293611,33383
1617235200000,2021-04-01,ETHUSDC,1919.99,1984.17,1885.12,1968.42,16634.28072,32318387.2791155,20333
1617148800000,2021-03-31,ETHUSDC,1841.29,1947.05,1771.7,1918.15,14778.31133,27509292.3958893,19487
1617062400000,2021-03-30,ETHUSDC,1816.75,1859.52,1785.83,1841.07,11539.12875,21142583.5201209,15137
1616976000000,2021-03-29,ETHUSDC,1686.53,1841.9,1676.95,1816.06,16680.40912,29750388.7296293,21542
1616889600000,2021-03-28,ETHUSDC,1715.69,1725.5,1661.22,1686.3,6166.69664,10480880.3702049,10087
1616803200000,2021-03-27,ETHUSDC,1700.42,1732.53,1659.97,1712.76,9231.79072,15651384.7838751,14206
1616716800000,2021-03-26,ETHUSDC,1587.48,1700.87,1587.21,1699.81,11638.61369,19113700.9887556,16420
1616630400000,2021-03-25,ETHUSDC,1582.31,1622.62,1547.79,1587.3,15244.80314,24283596.92267,18404
1616544000000,2021-03-24,ETHUSDC,1667.9,1740.93,1544,1581.13,18400.58245,30297858.6385741,20662
1616457600000,2021-03-23,ETHUSDC,1682.55,1721.57,1652.2,1668.8,13987.49016,23707736.0898349,13840
1616371200000,2021-03-22,ETHUSDC,1784.16,1808.79,1656,1681.18,16035.80193,28046126.9082459,19071
1616284800000,2021-03-21,ETHUSDC,1804.22,1816.94,1747.06,1783.45,10484.61135,18699147.3691795,13543
1616198400000,2021-03-20,ETHUSDC,1810.18,1868.88,1801.34,1804.22,6247.15772,11469890.5319383,9606
1616112000000,2021-03-19,ETHUSDC,1776.32,1840.66,1733.71,1810.18,10500.31899,18914893.3650147,13271
1616025600000,2021-03-18,ETHUSDC,1824.63,1849.53,1757.14,1776.59,12054.32577,21801832.6927009,15622
1615939200000,2021-03-17,ETHUSDC,1805.63,1846.52,1741.75,1823.05,11847.45195,21281246.1191608,14189
1615852800000,2021-03-16,ETHUSDC,1793.25,1819.36,1712,1806.44,11563.0399,20477356.574409,15277
1615766400000,2021-03-15,ETHUSDC,1847.68,1890.86,1734.02,1792.91,21999.02487,39469270.8726992,26104
1615680000000,2021-03-14,ETHUSDC,1920.87,1931.73,1836.39,1847.66,10515.97311,19757698.8499114,13565
1615593600000,2021-03-13,ETHUSDC,1768.91,1943.78,1728.17,1921.8,19533.40015,36441297.7949712,23149
1615507200000,2021-03-12,ETHUSDC,1827.14,1841.98,1720.17,1766,15055.22539,26685334.2247633,18144
1615420800000,2021-03-11,ETHUSDC,1796.1,1847.25,1724,1825.95,14997.85761,26886642.3565579,20524
1615334400000,2021-03-10,ETHUSDC,1871.39,1878.57,1757.94,1794.03,19666.6769,35724180.7146966,24563
1615248000000,2021-03-09,ETHUSDC,1834.81,1871.21,1799.1,1871.13,16748.02765,30666200.728568,19751
1615161600000,2021-03-08,ETHUSDC,1730,1843,1665.98,1833.16,22822.99252,39781901.6893605,22270
1615075200000,2021-03-07,ETHUSDC,1652.75,1734.68,1629.7,1726.9,18020.86053,30208388.4412555,16531
1614988800000,2021-03-06,ETHUSDC,1529.63,1671.91,1512.97,1651.4,19175.68714,30521074.5880647,17410
1614902400000,2021-03-05,ETHUSDC,1539.72,1549.1,1442.17,1528.05,20153.69741,29989595.1557623,20067
1614816000000,2021-03-04,ETHUSDC,1568.48,1624.98,1505.91,1539.73,17519.64399,27304139.3204626,18540
1614729600000,2021-03-03,ETHUSDC,1488.35,1657.38,1477.29,1568.84,17350.0327,27505837.7214139,15720
1614643200000,2021-03-02,ETHUSDC,1571.56,1604.32,1456.17,1486.04,22754.77817,34861717.2480031,17711
1614556800000,2021-03-01,ETHUSDC,1421.94,1573.33,1412.66,1571.49,28448.54805,42764936.0955297,22691
1614470400000,2021-02-28,ETHUSDC,1458.83,1469.15,1292.94,1420.92,35105.00552,48029133.3115448,27499
1614384000000,2021-02-27,ETHUSDC,1445.54,1529.76,1426.78,1459.55,18905.15133,28078090.9345028,16497
